GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Library,org.example,BorrowRecord,5,73,1,1,1,26,1,13,0,13
Library,org.example,BookController,11,0,0,0,3,0,2,0,2,0
Library,org.example,Book,0,53,0,0,0,20,0,11,0,11
Library,org.example,Application,13,0,0,0,4,0,3,0,3,0
Library,org.example,DatabaseManager,40,323,16,20,17,90,16,10,0,8
