GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Wumpus,org.example,BorrowRecord,0,32,0,0,0,12,0,8,0,8
Wumpus,org.example,Book,0,56,0,0,0,21,0,11,0,11
Wumpus,org.example,Application,13,0,0,0,4,0,3,0,3,0
